June 19, 2014   16:35:21
Cyclic Voltammetry
File: c:\documents and settings\nbt\desktop\cv data\lsh\2014\0619\cv010_pre.txt
Data Source:  Experiment
Instrument Model:  CHI627B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Potential/V, Current/A, Charge/C

Segment 1:
-0.449, -6.317e-7, -4.877e-5
-0.448, -6.226e-7, -4.884e-5
-0.447, -6.037e-7, -4.890e-5
-0.446, -5.890e-7, -4.895e-5
-0.445, -5.850e-7, -4.901e-5
-0.444, -5.828e-7, -4.907e-5
-0.443, -5.778e-7, -4.913e-5
-0.442, -5.608e-7, -4.919e-5
-0.441, -5.458e-7, -4.924e-5
-0.440, -5.377e-7, -4.929e-5
-0.439, -5.357e-7, -4.935e-5
-0.438, -5.345e-7, -4.940e-5
-0.437, -5.299e-7, -4.945e-5
-0.436, -5.202e-7, -4.951e-5
-0.435, -5.068e-7, -4.956e-5
-0.434, -4.938e-7, -4.961e-5
-0.433, -4.888e-7, -4.965e-5
-0.432, -4.873e-7, -4.970e-5
-0.431, -4.862e-7, -4.975e-5
-0.430, -4.836e-7, -4.980e-5
-0.429, -4.741e-7, -4.985e-5
-0.428, -4.597e-7, -4.989e-5
-0.427, -4.466e-7, -4.994e-5
-0.426, -4.400e-7, -4.998e-5
-0.425, -4.383e-7, -5.003e-5
-0.424, -4.372e-7, -5.007e-5
-0.423, -4.323e-7, -5.011e-5
-0.422, -4.241e-7, -5.016e-5
-0.421, -4.074e-7, -5.020e-5
-0.420, -3.967e-7, -5.024e-5
-0.419, -3.913e-7, -5.027e-5
-0.418, -3.887e-7, -5.031e-5
-0.417, -3.876e-7, -5.035e-5
-0.416, -3.835e-7, -5.039e-5
-0.415, -3.734e-7, -5.043e-5
-0.414, -3.615e-7, -5.046e-5
-0.413, -3.478e-7, -5.050e-5
-0.412, -3.424e-7, -5.053e-5
-0.411, -3.403e-7, -5.057e-5
-0.410, -3.393e-7, -5.060e-5
-0.409, -3.393e-7, -5.064e-5
-0.408, -3.363e-7, -5.067e-5
-0.407, -3.248e-7, -5.070e-5
-0.406, -3.123e-7, -5.073e-5
-0.405, -2.982e-7, -5.076e-5
-0.404, -2.936e-7, -5.079e-5
-0.403, -2.914e-7, -5.082e-5
-0.402, -2.905e-7, -5.085e-5
-0.401, -2.893e-7, -5.088e-5
-0.400, -2.835e-7, -5.091e-5
-0.399, -2.713e-7, -5.093e-5
-0.398, -2.613e-7, -5.096e-5
-0.397, -2.489e-7, -5.099e-5
-0.396, -2.432e-7, -5.101e-5
-0.395, -2.419e-7, -5.103e-5
-0.394, -2.400e-7, -5.106e-5
-0.393, -2.371e-7, -5.108e-5
-0.392, -2.275e-7, -5.110e-5
-0.391, -2.179e-7, -5.113e-5
-0.390, -2.062e-7, -5.115e-5
-0.389, -1.969e-7, -5.117e-5
-0.388, -1.944e-7, -5.119e-5
-0.387, -1.932e-7, -5.121e-5
